Website,Hits,Files per page,Clickthroughs,Impressions,Advertising cost,Number of clicks,Orders,New customers orders,Carts not Completed,Customer baskets initiated
A,579008,35,1000,100000,24000,1200000,2000,401,3150,9291
B,318911,11,528,18017,345085,3472822,4865,245,3253,9976
C,927471,43,4193,33705,11496,4171544,3531,445,3350,9991
D,535346,38,4964,87874,116545,1523624,2594,313,3244,9830
E,717830,16,3941,68004,145294,1691219,4650,116,3832,8583
F,316144,22,3175,17200,498372,4417808,3820,120,4700,8197
G,661428,48,1888,65871,12911,2662359,4340,337,2149,9833
H,569723,21,940,93234,261702,2214028,3300,195,2562,8236
I,573458,42,529,80259,367584,2477970,4250,294,1360,8194
J,778618,28,3672,66317,476875,3248043,2170,199,3222,8506
K,765783,32,4461,93674,212346,4027917,4175,429,4834,9621
L,330783,30,2767,51514,111214,3339803,3780,434,3912,9976
M,751143,47,3247,75122,344058,2975862,4682,153,1531,9767
N,662857,13,3090,45585,271719,3088601,3330,285,3976,8153
O,944701,41,2421,76449,498392,4585298,3541,100,1915,8790
P,903632,43,1982,84422,416503,1691471,3582,378,2779,9954
Q,870145,4,1741,51729,379430,4704777,2993,273,1704,8462
R,423161,42,3697,65081,284413,3066195,3527,135,4755,9636
S,975004,44,543,90104,34494,4193788,2252,211,3677,9562
,,,1061,94129,437024,3581347,2511,161,1729,9992
